Year,Team,Position,Points,Profit(£),Age,Name,Height(cm)
2020,Newcastle United,13,44,126.0,26.5,Dwight Gayle,174
2020,Newcastle United,13,44,126.0,26.5,Tom Allan,173
2020,Crystal Palace,14,43,115.6,29.4,Wayne Hennessey,198
2020,Crystal Palace,14,43,115.6,29.4,Ryan Inniss,196
2020,Crystal Palace,14,43,115.6,29.4,Scott Dann,194
2020,Crystal Palace,14,43,115.6,29.4,Gary Cahill,193
2020,Crystal Palace,14,43,115.6,29.4,Stephen Henderson,193
2020,Crystal Palace,14,43,115.6,29.4,James Tomkins,192
2020,Crystal Palace,14,43,115.6,29.4,Martin Kelly,191
2020,Crystal Palace,14,43,115.6,29.4,Christian Benteke,190
2020,Crystal Palace,14,43,115.6,29.4, Guaita,190
2020,Crystal Palace,14,43,115.6,29.4,Cheikhou Kouyaté,189
2020,Crystal Palace,14,43,115.6,29.4,Nikola Tavares,188
2020,Crystal Palace,14,43,115.6,29.4,Mamadou Sakho,187
2020,Crystal Palace,14,43,115.6,29.4,Luka Milivojević,186
2020,Crystal Palace,14,43,115.6,29.4,Joel Ward,186
2020,Crystal Palace,14,43,115.6,29.4,Sam Woods,185
2020,Crystal Palace,14,43,115.6,29.4,Luke Dreher,184
2020,Crystal Palace,14,43,115.6,29.4,Jordan Ayew,182
2020,Crystal Palace,14,43,115.6,29.4,Brandon Pierrick,182
2020,Crystal Palace,14,43,115.6,29.4,Jaïro Riedewald,182
2020,Crystal Palace,14,43,115.6,29.4,John-Kymani Gordon,181
2020,Crystal Palace,14,43,115.6,29.4,Andros Townsend,181
2020,Crystal Palace,14,43,115.6,29.4,James McCarthy,180
2020,Crystal Palace,14,43,115.6,29.4,Wilfried Zaha,180
2020,Crystal Palace,14,43,115.6,29.4,James McArthur,178
2020,Crystal Palace,14,43,115.6,29.4,Jeffrey Schlupp,178
2020,Crystal Palace,14,43,115.6,29.4,Patrick van Aanholt,176
2020,Crystal Palace,14,43,115.6,29.4,Tyrick Mitchell,175
2020,Crystal Palace,14,43,115.6,29.4,Nya Kirby,174
2020,Brighton & Hove Albion,15,41,113.5,26.4,Dan Burn,201
2020,Brighton & Hove Albion,15,41,113.5,26.4, Robert Sánchez,197
2020,Brighton & Hove Albion,15,41,113.5,26.4,Christian Walton,195
2020,Brighton & Hove Albion,15,41,113.5,26.4,Shane Duffy,193
2020,Brighton & Hove Albion,15,41,113.5,26.4,Tudor Băluţă,192
2020,Brighton & Hove Albion,15,41,113.5,26.4,Lewis Dunk,192
2020,Brighton & Hove Albion,15,41,113.5,26.4,David Button,191
2020,Brighton & Hove Albion,15,41,113.5,26.4,Adam Webster,191
2020,Brighton & Hove Albion,15,41,113.5,26.4,Ezequiel Schelotto,188
2020,Brighton & Hove Albion,15,41,113.5,26.4,Jason Steele,188
2020,Brighton & Hove Albion,15,41,113.5,26.4,Viktor Gyökeres,187
2020,Brighton & Hove Albion,15,41,113.5,26.4, Bernardo,186
2020,Brighton & Hove Albion,15,41,113.5,26.4,Glenn Murray,186
2020,Brighton & Hove Albion,15,41,113.5,26.4,Davy Pröpper,185
2020,Brighton & Hove Albion,15,41,113.5,26.4,Dale Stephens,185
2020,Brighton & Hove Albion,15,41,113.5,26.4,Haydon Roberts,184
2020,Brighton & Hove Albion,15,41,113.5,26.4,Mathew Ryan,184
2020,Brighton & Hove Albion,15,41,113.5,26.4,Leo Østigård,183
2020,Brighton & Hove Albion,15,41,113.5,26.4,Yves Bissouma,182
2020,Brighton & Hove Albion,15,41,113.5,26.4,Pascal Groß,181
2020,Brighton & Hove Albion,15,41,113.5,26.4,Steven Alzate,180
2020,Brighton & Hove Albion,15,41,113.5,26.4,Alireza Jahanbakhsh,180
2020,Brighton & Hove Albion,15,41,113.5,26.4,Solly March,180
2020,Brighton & Hove Albion,15,41,113.5,26.4,Romaric Yapi,179
2020,Brighton & Hove Albion,15,41,113.5,26.4,Beram Kayal,178
2020,Brighton & Hove Albion,15,41,113.5,26.4, Martín Montoya,175
2020,Brighton & Hove Albion,15,41,113.5,26.4,Aaron Mooy,175
2020,Brighton & Hove Albion,15,41,113.5,26.4,Percy Tau,175
2020,Brighton & Hove Albion,15,41,113.5,26.4,Aaron Connolly,174
2020,Brighton & Hove Albion,15,41,113.5,26.4,Alexis Mac Allister,174
2020,West Ham United,16,39,113.4,27.4,Issa Diop,194
2020,West Ham United,16,39,113.4,27.4, Roberto,192
2020,West Ham United,16,39,113.4,27.4,Tomáš Souček,192
2020,West Ham United,16,39,113.4,27.4,Angelo Ogbonna,191
2020,West Ham United,16,39,113.4,27.4,Joseph Anang,190
2020,West Ham United,16,39,113.4,27.4,Łukasz Fabiański,190
2020,West Ham United,16,39,113.4,27.4,Sébastien Haller,190
2020,West Ham United,16,39,113.4,27.4,Andrey Yarmolenko,190
2020,West Ham United,16,39,113.4,27.4,Fabián Balbuena,189
2020,West Ham United,16,39,113.4,27.4, Gonçalo Cardoso,189
2020,West Ham United,16,39,113.4,27.4,David Martin,188
2020,West Ham United,16,39,113.4,27.4,Darren Randolph,188
2020,West Ham United,16,39,113.4,27.4,Declan Rice,185
2020,West Ham United,16,39,113.4,27.4,Robert Snodgrass,182
2020,West Ham United,16,39,113.4,27.4,Albian Ajeti,181
2020,West Ham United,16,39,113.4,27.4,Ryan Fredericks,181
2020,West Ham United,16,39,113.4,27.4,Michail Antonio,180
2020,West Ham United,16,39,113.4,27.4,Mark Noble,180
2020,West Ham United,16,39,113.4,27.4,Arthur Masuaku,179
2020,West Ham United,16,39,113.4,27.4, Pablo Fornals,178
2020,West Ham United,16,39,113.4,27.4, Bernardo Rosa,177
2020,West Ham United,16,39,113.4,27.4,Conor Coventry,177
2020,West Ham United,16,39,113.4,27.4, Xande Silva,177
2020,West Ham United,16,39,113.4,27.4,Jarrod Bowen,175
2020,West Ham United,16,39,113.4,27.4, Felipe Anderson,175
2020,West Ham United,16,39,113.4,27.4,Ben Johnson,175
2020,Aston Villa,17,35,106.1,25.7,Lovre Kalinić,201
2020,Aston Villa,17,35,106.1,25.7,Tyrone Mings,196
2020,Aston Villa,17,35,106.1,25.7,Björn Engels,194
2020,Aston Villa,17,35,106.1,25.7,Matija Šarkić,194
2020,Aston Villa,17,35,106.1,25.7,Ørjan Nyland,192
2020,Aston Villa,17,35,106.1,25.7,Kortney Hause,191
2020,Aston Villa,17,35,106.1,25.7, Wesley,191
2020,Aston Villa,17,35,106.1,25.7,Keinan Davis,189
2020,Aston Villa,17,35,106.1,25.7,Anwar el Ghazi,189
2020,Aston Villa,17,35,106.1,25.7,Tom Heaton,188
2020,Aston Villa,17,35,106.1,25.7, Pepe Reina,188
2020,Aston Villa,17,35,106.1,25.7,Dominic Revan,185
2020,Aston Villa,17,35,106.1,25.7,Ezri Konsa,183
2020,Aston Villa,17,35,106.1,25.7,Henri Lansbury,183
2020,Aston Villa,17,35,106.1,25.7,Mbwana Samatta,183
2020,Aston Villa,17,35,106.1,25.7,Jed Steer,183
2020,Aston Villa,17,35,106.1,25.7,Matt Targett,183
2020,Aston Villa,17,35,106.1,25.7,Ahmed Elmohamady,182
2020,Aston Villa,17,35,106.1,25.7,Conor Hourihane,181
2020,Aston Villa,17,35,106.1,25.7,Jota Peleteiro,180
2020,Aston Villa,17,35,106.1,25.7,Jacob Ramsey,180
2020,Aston Villa,17,35,106.1,25.7, Trézéguet,179
2020,Aston Villa,17,35,106.1,25.7,Frédéric Guilbert,178
2020,Aston Villa,17,35,106.1,25.7,John McGinn,178
2020,Aston Villa,17,35,106.1,25.7, Douglas Luiz,177
2020,Aston Villa,17,35,106.1,25.7,Marvelous Nakamba,177
2020,Aston Villa,17,35,106.1,25.7,Neil Taylor,176
2020,Aston Villa,17,35,106.1,25.7,Jack Grealish,175
