Year,Team,Position,Points,Profit(£),Age,Name,Annual Salary(£)
2016,Tottenham Hotspur,3,70,95.2,24.5,Alderweireld,4160000
2016,Tottenham Hotspur,3,70,95.2,24.5,Dembele,2860000
2016,Tottenham Hotspur,3,70,95.2,24.5,Kane,2600000
2016,Tottenham Hotspur,3,70,95.2,24.5,Fazio,2340000
2016,Tottenham Hotspur,3,70,95.2,24.5,Bentaleb,2080000
2016,Tottenham Hotspur,3,70,95.2,24.5,Njie,1976000
2016,Tottenham Hotspur,3,70,95.2,24.5,Trippier,1820000
2016,Tottenham Hotspur,3,70,95.2,24.5,Alli,1300000
2016,Tottenham Hotspur,3,70,95.2,24.5,Winks,1040000
2016,Tottenham Hotspur,3,70,95.2,24.5,Onomah,260000
2016,Manchester City,4,66,97.0,28.3,Aguero,11440000
2016,Manchester City,4,66,97.0,28.3,Toure,11440000
2016,Manchester City,4,66,97.0,28.3,Silva,8320000
2016,Manchester City,4,66,97.0,28.3,De Bruyne,7800000
2016,Manchester City,4,66,97.0,28.3,Sterling,7800000
2016,Manchester City,4,66,97.0,28.3,Nasri,7800000
2016,Manchester City,4,66,97.0,28.3,Kompany,7800000
2016,Manchester City,4,66,97.0,28.3,Otamendi,6240000
2016,Manchester City,4,66,97.0,28.3,Hart,6032000
2016,Manchester City,4,66,97.0,28.3,Mangala,5200000
2016,Manchester City,4,66,97.0,28.3,Luis Roza,5200000
2016,Manchester City,4,66,97.0,28.3,Reges,5200000
2016,Manchester City,4,66,97.0,28.3,Bony,5200000
2016,Manchester City,4,66,97.0,28.3,Delph,4160000
2016,Manchester City,4,66,97.0,28.3,Kolarov,3588000
2016,Manchester City,4,66,97.0,28.3,Zuculini,1300000
2016,Manchester City,4,66,97.0,28.3,Denayer,1300000
2016,Manchester City,4,66,97.0,28.3,Sobrino,780000
2016,Manchester City,4,66,97.0,28.3,Roberts,520000
2016,Manchester City,4,66,97.0,28.3,Garcia,260000
2016,Manchester City,4,66,97.0,28.3,Maffeo,260000
2016,Manchester City,4,66,97.0,28.3,Adarabioyo,260000
2016,Manchester City,4,66,97.0,28.3,Brattan,52000
2016,Manchester United,5,66,96.4,25.6,Rooney,15600000
2016,Manchester United,5,66,96.4,25.6,De Gea,10400000
2016,Manchester United,5,66,96.4,25.6,Mata,8320000
2016,Manchester United,5,66,96.4,25.6,Herrera,5980000
2016,Manchester United,5,66,96.4,25.6,Shaw,5720000
2016,Manchester United,5,66,96.4,25.6,Rojo,5720000
2016,Manchester United,5,66,96.4,25.6,Valencia,4420000
2016,Manchester United,5,66,96.4,25.6,Fellaini,4160000
2016,Manchester United,5,66,96.4,25.6,Blind,3900000
2016,Manchester United,5,66,96.4,25.6,Jones,3900000
2016,Manchester United,5,66,96.4,25.6,Smalling,3640000
2016,Manchester United,5,66,96.4,25.6,Romero,3380000
